4. FACILITY NAME,12. LATITUDE,13. LONGITUDE,116. PRODUCTION WSTE (8.1-8.7)
CEMEX CONSTRUCTION MATERIALS PACIFIC LLC,38.28262,-121.99716,0.0
CEMEX CONSTRUCTION MATERIALS PACIFIC LLC,38.563169,-121.560137,0.0
CEMEX CONSTRUCTION MATERIALS PACIFIC LLC,34.5534,-117.3031,28119.717711
ERGON ASPHALT & EMULSIONS INC. - FONTANA,34.06293,-117.47948,0.0
DYNACAST INC,33.664485,-117.675845,58039.682
BAE SYSTEMS SAN DIEGO SHIP REPAIR,32.692921,-117.144598,67327.8
GOODWIN CO,33.783,-118.0058,65.0
TRILLIUM PUMPS USA INC.,36.709776,-119.769232,0.0
CAMBRO MANUFACTURING CO SKYLAB RD. FACILITY,33.7484,-118.02769,196.002
SIERRA PACIFIC INDUSTRIES - BURNEY DIV,40.8774,-121.7019,0.299798
ALERT PLATING CO,34.250667,-118.38842,348830.0
ATWATER FEDERAL PRISON,37.38307,-120.55911,1442.86
HILMAR CHEESE CO,37.421613,-120.850431,3322348.0
LOS ANGELES PLANT 15,34.01244,-118.21148,34.140417
RECOLD,33.9198,-117.90582,30078.0
1000PALMS VISTA CHINO PLANT,33.84532,-116.37557,0.1
LUBRIZOL ADVANCED MATERIALS INC.,35.67573,-120.63781,73.0
QUIKRETE - SUN VALLEY CA PLANT,34.232528,-118.374358,1.0
MISSION VALLEY ROCK,37.575903,-121.880047,6.930199999999999
CAL METAL X,33.9898,-118.26898,6.065
SAINT GOBAIN SOLAR GARD LLC,32.824396,-117.125672,20696.0
DFA DAIRY BRANDS FLUID LLC DBA ALTA DENA CERTIFIED DAIRY,33.996865,-117.915083,196408.0
DFA DAIRY BRANDS FLUID LLC DBA ALTA DENA CERTIFIED DAIRY,34.00814,-117.91904,125062.0
US NAVY CAMP MICHAEL MONSOOR - LA POSTA (RANGES) (PART),32.667621,-116.437064,5166.6
PALMDALE PLANT 39,34.571129,-117.99599,5.5343
APCT ANAHEIM,33.82451,-117.85109,16777.261
ASSOCIATED READY MIXED CONCRETE INC,32.56573,-116.99025,40.72
A.L. GILBERT CO,37.76917,-120.84874,0.0
SIERRA CIRCUITS INC (DBA SIERRA PROTO EXPRESS),37.38445,-122.04894,21331.01
HEAT & CONTROL INC,37.64519,-122.1375,28858.0
KINGSBURYNA INC,39.10908,-121.61031,70.13
PHIBRO-TECH INC.,33.95914,-118.06586,2333008.0
CBC STEEL BUILDINGS,37.81185,-121.27235,8477.851
BERG LACQUER CO,34.017443,-118.212607,576728.520284
HOLLIDAY ROCK CO INC - CAMPUS,34.1371,-117.6405,64.36080000000001
WEBER METALS INC.,33.88283,-118.16874,276315.0
U.S ARMY SIERRA ARMY DEPOT,40.135675,-120.16941,20402.0
WR MEADOWS OF NORTHERN CALIFORNIA,38.07224,-122.12703,716.0
USS-UPI LLC,38.02305,-121.85565,33287.0436
NVENT THERMAL LLC,37.48433,-122.2083,469.0
DANCO EN,34.03313,-117.61344,34587.0
SANGER BOATS INC,36.70054,-119.7693,17960.0
GUARDIAN INDUSTRIES LLC,36.54681,-119.58144,3554.53
DESIGNED METAL CONNECTIONS,33.89906,-118.28305,75009.87
CHEMSTATION OF NORTHERN CALIFORNIA,37.97782,-121.248,0.0
